Plant,qbar,vlow,vup,v0,efficiency
H1,220,120,792,0.5,0.178645
H2,236,11,11,0,0.244686
H3,585,304,304,0,0.350193
H4,1692,5733,22950,0.5,0.748479
H5,1328,1540,4040,0.5,0.315981
H6,2028,1423,1423,0,0.562731
H7,1076,450,450,0,0.404259
H8,1480,480,480,0,0.154781
H9,1584,2244,2244,0,0.247221
H10,1988,1524,1524,0,0.203826
H11,94,51,555,0.5,0.775442
H12,148,14,14,0,0.746079
H13,178,25,25,0,0.20645
H14,2944,890,6150,0.5,0.466867
H15,2958,5856,11025,0.5,0.456953
H16,570,470,1500,0.5,0.576865
H17,1048,4669,17725,0.5,1.04132
H18,576,2412,12792,0.5,0.940192
H19,675,974,1120,0.5,0.617276
H20,2940,4573,17027,0.5,0.645664
H21,2513,460,460,0,0.282615
H22,2670,7000,12540,0.5,0.609431
H23,759,569,3135,0.5,0.156818
H24,771,544,544,0,0.188124
H25,702,985,985,0,0.187166
H26,1293,5280,7408,0.5,0.199675
H27,1431,2720,2720,0,0.260129
H28,11604,25467,34432,0.5,0.383595
H29,8344,3354,3354,0,0.198022
H30,8904,14400,20000,0.5,0.171769
