Plant,fbar,cost
T1,640,23.21
T2,1350,20.12
T3,530,98.33
T4,36,937
T5,157,262.56
T6,59,273.52
T7,28,189.41
T8,529,511.77
T9,44,838.15
T10,235,151.2
T11,321,230.31
T12,65,275.53
T13,572,399.02
T14,140,895.17
T15,226,274.79
T16,131,653.43
T17,87,213.84
T18,204,166.44
T19,400,37.8
T20,100,58.89
T21,200,102.84
T22,127,282.05
T23,176,731.91
T24,200,470.34
T25,30,421.52
T26,436,310.41
T27,500,111.1
T28,41,90
T29,134,155.61
T30,216,274.03
T31,340,678.04
T32,929,421.02
T33,770,182.87
T34,266,275.03
T35,10,1047.38
T36,175,440.24
T37,206,197.85
T38,54,1171.37
